name,district,place_image,address
국립항공박물관,서울 강서구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c7e81c5d-0f3d-4734-b2d5-7bd5c1d58bb2,서울특별시 강서구 하늘길 177 (공항동) 
롯데월드 어드벤처,서울 송파구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e7882449-3fb8-48d5-a99b-9ac6d4a0a772,서울특별시 송파구 올림픽로 240 
남산서울타워,서울 용산구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=dd6daf06-28ff-48ae-b90e-472b6ecfa1db,서울특별시 용산구 남산공원길 105 
국립중앙박물관,서울 용산구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ed2ac8d2-fc47-409b-941f-613e7838de99,서울특별시 용산구 서빙고로 137 
경복궁,서울 종로구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=18de0998-9f79-41ff-ae32-e14011a8358c,서울특별시 종로구 사직로 161 
남대문시장,서울 중구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=628e1196-3ed4-417b-814b-46482777163b,서울특별시 중구 남대문시장4길 21 
봉은사(서울),서울 강남구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b91248f2-788e-4af7-bd2d-9df4ec6e1a4c,서울특별시 강남구 봉은사로 531 
서울어린이대공원,서울 광진구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d1a79a86-2e77-4dd5-8896-4ca8878a020a,서울특별시 광진구 능동로 216 (능동) 
망원시장,서울 마포구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=918e22fa-598c-4dbe-851c-d1fe663f962c,서울특별시 마포구 포은로8길 14 
하늘공원,서울 마포구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1da5aec8-9e48-4012-8e32-52d5e1895a3f,서울특별시 마포구 하늘공원로 95 
서대문자연사박물관,서울 서대문구,https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0aadcf3f-19b6-4f99-a344-ddbd61d0a388,서울특별시 서대문구 연희로32길 51 
